model,mark,price
GeForce GTX 1650 SUPER,9834,159.99
Radeon RX 590,9474,159.99
Radeon RX 580,8750,149.99
GeForce GTX 1650,7798,139.99
GeForce GTX 1660,11540,209.99
GeForce GTX 1660 SUPER,12689,239.99
Radeon RX 5600 XT,13465,269.99
Radeon RX 5500 XT,8945,179.99
GeForce RTX 2060,14072,299.99
Radeon,1969,41.99
Radeon RX 5700,14475,309.99
Radeon RX 570,6967,149.99
Radeon RX 5700 XT,16687,359.99
GeForce GTX 1660 Ti,12349,269.49
GeForce GTX 1050 Ti,6389,139.99
GeForce RTX 2060 SUPER,16353,414.98
GeForce GTX 1080,14821,379.99
GeForce RTX 2070,16196,419.99
Radeon RX 550,2415,64.99
GeForce RTX 2070 SUPER,18128,524.99
GeForce GTX 1050,5427,159.45
GeForce GT 1030,2620,79.99
GeForce GTX 1070,13319,449.99
Radeon RX 560,3642,129.99
Quadro 6000,2787,99.99
GeForce RTX 2080 SUPER,19336,719.99
Radeon RX Vega 56,13335,519.99
Quadro P2200,9118,378.66
Radeon Pro W5500,9377,408.99
Quadro P620,3679,167.25
GeForce RTX 2080 Ti,21550,999.99
Radeon Pro W5700,15031,799.99
GeForce GT 710,638,35.99
Radeon Pro WX 7100,7758,460.99
Radeon Pro WX 5100,5328,334.99
Quadro P4000,11678,789.99
Radeon Pro WX 3200,2559,174.99
Radeon Pro WX 8200,14137,969.99
Radeon Pro WX 4100,3620,249.99
Quadro P400,1662,117.99
Quadro P1000,4362,329.99
Quadro K6000,8502,677.93
GeForce GT 730,794,65.70
Radeon R7 430,1140,104.11
Radeon VII,16899,"1,898.99"
TITAN RTX,19403,"2,499.00"
Quadro P5000,11542,"1,700.64"
Quadro K5200,5922,"1,659.87"
GeForce 8400 GS,121,43.03
Radeon HD 5570,448,171.99
Radeon RX 470,7919,99.99
Radeon R9 380,6155,89.99
GeForce GTX 950,5328,86.00
GeForce GTX 1650 SUPER,9834,159.99
GeForce GTX 780,7881,129.99
Radeon RX 590,9474,159.99
Radeon RX 580,8750,149.99
GeForce GTX 1650,7798,139.99
GeForce GTX 1660,11540,209.99
GeForce GTX 770,5894,109.95
GeForce GTX 1660 SUPER,12689,239.99
GeForce GTX 960,5985,113.27
Radeon RX 5600 XT,13465,269.99
Radeon RX 5500 XT,8945,179.99
Radeon HD 7850,3720,75.00
GeForce GTX 980,11035,223.10
GeForce GTX 970,9637,197.44
Radeon HD 6970,2917,59.99
GeForce RTX 2060,14072,299.99
Radeon,1969,41.99
Radeon RX 5700,14475,309.99
Radeon RX 570,6967,149.99
Radeon RX 5700 XT,16687,359.99
GeForce GTX 1660 Ti,12349,269.49
GeForce GTX 1050 Ti,6389,139.99
Radeon R9 290 / 390,8150,179.32
GeForce GTX 980 Ti,13745,309.20
Radeon RX 480,8522,198.25
Radeon HD 7970 / R9 280X,5247,125.99
GeForce GTX 1060 3GB,9611,235.99
GeForce GTX 780 Ti,9149,225.10
GeForce RTX 2060 SUPER,16353,414.98
GeForce GTX 1080,14821,379.99
GeForce RTX 2070,16196,419.99
Radeon R9 290X / 390X,8389,220.10
GeForce GTX 560 Ti,3065,81.60
Radeon RX Vega 64,14649,389.99
Radeon RX 550,2415,64.99
Radeon R7 450,1918,52.49
GeForce GTX 670,5321,149.00
Quadro M1000M,3007,85.99
GeForce RTX 2070 SUPER,18128,524.99
GeForce GTX 1050,5427,159.45
Quadro M3000M,5423,159.95
GeForce GT 1030,2620,79.99
Radeon R9 270X,4837,149.99
Radeon R7 260,2891,89.99
Radeon HD 7870,4652,147.00
GeForce GTX 660,3943,124.97
GeForce GTX 1060,10209,325.88
